iter	Logloss
0	0.6822490716
1	0.6716402542
2	0.6588224629
3	0.6467712002
4	0.6356848177
5	0.6289261247
6	0.6221996719
7	0.6166173899
8	0.6052138134
9	0.5944768407
10	0.589100184
11	0.5832254294
12	0.5740682741
13	0.5697541519
14	0.5650267796
15	0.5558390803
16	0.5460079545
17	0.5449758788
18	0.5337666724
19	0.5284161933
20	0.5230247688
21	0.5195715156
22	0.5148374305
23	0.5105736529
24	0.5074452458
25	0.5044379537
26	0.5004380871
27	0.4967815165
28	0.4927202537
29	0.4888654709
30	0.4839652254
31	0.4816320247
32	0.477769093
33	0.471051074
34	0.4683955541
35	0.4644157009
36	0.4616151465
37	0.4582705868
38	0.4562051942
39	0.4547685123
40	0.4519727924
41	0.4490557019
42	0.4464845843
43	0.4457756549
44	0.4434802158
45	0.4397053204
46	0.4384821947
47	0.4353454533
48	0.4333209666
49	0.4308860253
50	0.4271122232
51	0.4228127682
52	0.4211571288
53	0.4174113827
54	0.4154861074
55	0.4145573326
56	0.4117328296
57	0.4099908607
58	0.4089355061
59	0.4074932191
60	0.405501063
61	0.4033636479
62	0.4006414894
63	0.397427148
64	0.3962786902
65	0.3947891298
66	0.3922054936
67	0.3904090752
68	0.3892910346
69	0.3860219906
70	0.3845934158
71	0.3838227473
72	0.3822790575
73	0.3815825964
74	0.3792393749
75	0.3771648896
76	0.3749144614
77	0.3737495393
78	0.3728684582
79	0.3719262986
80	0.3706854433
81	0.3679001643
82	0.3667117027
83	0.3665775749
84	0.3648376515
85	0.3639853017
86	0.3621893879
87	0.3598838439
88	0.358896926
89	0.3583146737
90	0.356216606
91	0.3532946906
92	0.3528673775
93	0.3519285281
94	0.3510265014
95	0.3505554461
96	0.3486258181
97	0.3481101524
98	0.3473646688
99	0.3463246375
100	0.3445899098
101	0.3439637298
102	0.3430240659
103	0.3414241861
104	0.3406664697
105	0.3402199132
106	0.3398872572
107	0.3390902457
108	0.338797514
109	0.3386416495
110	0.338483513
111	0.3378046392
112	0.3371624764
113	0.3366527027
114	0.3360178481
115	0.3356154309
116	0.3348728667
117	0.333588362
118	0.3322937451
119	0.3306574388
120	0.3300109049
121	0.3296711797
122	0.3291315385
123	0.3280662085
124	0.3270421633
125	0.3264905599
126	0.3260053345
127	0.3251802024
128	0.3247226556
129	0.323479465
130	0.3230844094
131	0.3228352448
132	0.3220224782
133	0.321483048
134	0.3212501997
135	0.3210399887
136	0.3204942813
137	0.3197899694
138	0.3194082588
139	0.318857986
140	0.3185927055
141	0.3184761882
142	0.3176138221
143	0.316995479
144	0.3167386254
145	0.3160304753
146	0.315740276
147	0.3145919744
148	0.3144897675
149	0.3140625028
150	0.3136619106
151	0.3121305949
152	0.311368287
153	0.3105036044
154	0.3102607916
155	0.3097850565
156	0.3094415324
157	0.3088067504
158	0.3081870796
159	0.3078948591
160	0.3074479854
161	0.306890864
162	0.306792052
163	0.3061571649
164	0.3058720893
165	0.3056853579
166	0.3056813421
167	0.30428826
168	0.3041403334
169	0.3032307527
170	0.3030486108
171	0.3027292879
172	0.3023423047
173	0.3022434964
174	0.3016912651
175	0.3013423484
176	0.3005779338
177	0.300400334
178	0.3000112913
179	0.2996553379
180	0.2983309655
181	0.2977300969
182	0.2974123196
183	0.2971934842
184	0.2965585397
185	0.2959106808
186	0.2957336481
187	0.2940856759
188	0.2937099172
189	0.2934682881
190	0.2930309858
191	0.2928508183
192	0.2925563863
193	0.2924833847
194	0.2920286462
195	0.2909420691
196	0.2905816093
197	0.2897405204
198	0.2894335382
199	0.2891160598
200	0.2888316627
201	0.2883333727
202	0.2877875097
203	0.287638043
204	0.2871844718
205	0.2871609824
206	0.2865448356
207	0.2864662613
208	0.2857946014
209	0.2855163666
210	0.2853401271
211	0.2851535652
212	0.2850220125
213	0.2839725478
214	0.2836437811
215	0.2834780196
216	0.2834345605
217	0.2832879286
218	0.2829567683
219	0.2826018808
220	0.2818798044
221	0.2814661698
222	0.2808237977
223	0.2806148919
224	0.2803878584
225	0.2796941996
226	0.2795547911
227	0.2792414671
228	0.2790522136
229	0.2786155312
230	0.2785623793
231	0.2782366626
