iter	Passed	Remaining
0	21	21459
1	50	25009
2	85	28348
3	119	29812
4	162	32307
5	211	35007
6	265	37677
7	302	37508
8	338	37255
9	370	36646
10	400	36000
11	433	35656
12	470	35738
13	508	35818
14	548	36009
15	589	36276
16	627	36266
17	641	34977
18	675	34853
19	706	34630
20	738	34413
21	769	34202
22	805	34197
23	840	34180
24	876	34172
25	914	34267
26	953	34349
27	989	34349
28	1040	34845
29	1075	34771
30	1110	34723
31	1142	34552
32	1174	34402
33	1222	34744
34	1255	34629
35	1288	34502
36	1339	34853
37	1372	34738
38	1409	34723
39	1432	34372
40	1466	34301
41	1511	34472
42	1563	34791
43	1579	34310
44	1642	34860
45	1681	34863
46	1713	34738
47	1746	34637
48	1778	34517
49	1809	34386
50	1843	34311
51	1878	34248
52	1915	34234
53	1960	34337
54	2002	34408
55	2028	34192
56	2080	34412
57	2116	34379
58	2136	34068
59	2179	34139
60	2219	34166
61	2262	34223
62	2305	34284
63	2340	34229
64	2384	34298
65	2407	34072
66	2444	34043
67	2480	33992
68	2511	33888
69	2542	33778
70	2579	33746
71	2602	33548
72	2645	33588
73	2687	33626
74	2724	33597
75	2754	33494
76	2786	33402
77	2819	33331
78	2854	33276
79	2879	33116
80	2925	33196
81	2968	33235
82	3014	33309
83	3033	33080
84	3084	33199
85	3118	33144
86	3150	33058
87	3184	33007
88	3221	32979
89	3243	32790
90	3274	32708
91	3311	32679
92	3345	32627
93	3386	32638
94	3420	32587
95	3436	32360
96	3476	32363
97	3526	32462
98	3568	32479
99	3628	32659
100	3712	33043
101	3751	33025
102	3785	32969
103	3818	32896
104	3865	32948
105	3881	32737
106	3898	32532
107	3923	32402
108	3953	32320
109	3966	32089
110	3976	31850
111	4008	31784
112	4041	31723
113	4072	31650
114	4103	31581
115	4122	31418
116	4156	31367
117	4189	31315
118	4225	31283
119	4262	31255
120	4301	31247
121	4331	31170
122	4363	31111
123	4395	31050
124	4426	30983
125	4447	30848
126	4477	30781
127	4508	30715
128	4539	30648
129	4569	30581
130	4611	30590
131	4654	30604
132	4678	30496
133	4711	30446
134	4727	30289
135	4738	30101
136	4767	30032
137	4798	29972
138	4831	29929
139	4870	29915
140	4893	29813
141	4916	29706
142	4950	29666
143	4986	29642
144	5027	29642
145	5076	29692
146	5105	29625
147	5150	29649
148	5165	29504
149	5187	29397
150	5219	29346
151	5259	29343
152	5305	29369
153	5348	29382
154	5381	29337
155	5426	29357
156	5483	29443
157	5520	29421
158	5552	29366
159	5582	29310
160	5613	29254
161	5645	29202
162	5668	29108
163	5699	29055
164	5731	29004
165	5750	28888
166	5757	28716
167	5789	28673
168	5802	28531
169	5834	28487
170	5874	28479
171	5908	28445
172	5928	28340
173	5944	28220
174	5978	28185
175	6009	28136
176	6041	28092
177	6074	28050
178	6118	28064
179	6165	28086
180	6219	28143
181	6276	28211
182	6330	28260
183	6373	28266
184	6420	28283
185	6455	28250
186	6476	28157
187	6502	28086
188	6559	28145
189	6581	28059
190	6618	28035
191	6666	28054
192	6699	28011
193	6710	27879
194	6744	27843
195	6776	27797
196	6806	27743
197	6837	27693
198	6868	27645
199	6899	27597
200	6936	27572
201	6972	27545
202	7014	27540
203	7047	27500
204	7079	27455
205	7098	27359
206	7137	27343
207	7167	27290
208	7202	27259
209	7234	27216
210	7263	27159
211	7296	27120
212	7329	27082
213	7366	27057
214	7403	27031
215	7443	27018
216	7470	26957
217	7488	26863
218	7528	26849
219	7570	26840
220	7602	26797
221	7636	26760
222	7676	26748
223	7715	26730
224	7757	26720
225	7793	26691
226	7837	26690
227	7873	26658
228	7914	26647
229	7959	26646
230	7976	26554
231	8032	26591
232	8095	26649
233	8145	26662
234	8197	26684
235	8233	26654
236	8263	26603
237	8285	26527
238	8315	26478
239	8347	26433
240	8378	26386
241	8409	26339
242	8430	26263
243	8461	26216
244	8491	26167
245	8513	26094
246	8553	26075
247	8598	26073
248	8641	26063
249	8684	26053
250	8719	26018
251	8751	25976
252	8794	25965
